Database,Table,Field,DataType,Key,NullValues,AutoIncrement,ReferenceFields,Description
OmniSeqKnowledgebase2,do_diseases,doId,varchar(50),Primary,N,N,,
OmniSeqKnowledgebase2,do_diseases,diseaseName,varchar(255),,N,N,,
OmniSeqKnowledgebase2,do_diseases,definition,text,,Y,N,,
OmniSeqKnowledgebase2,do_diseases,url,text,,Y,N,,
OmniSeqKnowledgebase2,do_diseases,graph_id,varchar(50),,N,N,,
OmniSeqKnowledgebase2,do_synonyms,doId,varchar(50),Foreign,N,N,do_diseases.doId,
OmniSeqKnowledgebase2,do_synonyms,synonymType,varchar(50),,N,N,,
OmniSeqKnowledgebase2,do_synonyms,synonym,varchar(512),,N,N,,
OmniSeqKnowledgebase2,do_xrefs,doId,varchar(50),Foreign,N,N,do_diseases.doId,
OmniSeqKnowledgebase2,do_xrefs,source,varchar(50),,N,N,,
OmniSeqKnowledgebase2,do_xrefs,xrefId,varchar(255),,N,N,,
OmniSeqKnowledgebase2,do_subsets,doId,varchar(50),Foreign,N,N,do_diseases.doId,
OmniSeqKnowledgebase2,do_subsets,subset,varchar(50),,N,N,,
OmniSeqKnowledgebase2,do_parents,doId,varchar(50),Foreign,N,N,do_diseases.doId,
OmniSeqKnowledgebase2,do_parents,parent,varchar(50),Foreign,N,N,do_diseases.doId,
OmniSeqKnowledgebase2,do_children,doId,varchar(50),Foreign,N,N,do_diseases.doId,
OmniSeqKnowledgebase2,do_children,child,varchar(50),Foreign,N,N,do_diseases.doId,
