"Mcode","McodeDescription","ParentMCode","DiseasePath","OmniDisease_ID","Active_Flag"
"MD-0001","Bladder",,"Bladder",,-1
"MD-0002","Brain",,"Brain",,-1
"MD-0003","Breast",,"Breast",,-1
"MD-0004","Cervical",,"Cervical",,-1
"MD-0005","Colorectal",,"Colorectal",,-1
"MD-0006","Endometrial",,"Endometrial",,-1
"MD-0007","Esophageal",,"Esophageal",,-1
"MD-0008","Head & Neck",,"Head & Neck",,-1
"MD-0009","Kidney",,"Kidney",,-1
"MD-0010","Liver",,"Liver",,-1
"MD-0011","Lung",,"Lung",,-1
"MD-0012","Hematopoietic",,"Hematopoietic",,0
"MD-0013","Melanoma",,"Melanoma",,-1
"MD-0014","Mesothelioma",,"Mesothelioma",,-1
"MD-0015","Ovary",,"Ovary",,-1
"MD-0016","Pancreatic (Endocrine)",,"Pancreatic (Endocrine)",,-1
"MD-0017","Pancreatic (Exocrine)",,"Pancreatic (Exocrine)",,-1
"MD-0018","Prostate",,"Prostate",,-1
"MD-0019","Salivary Glands",,"Salivary Glands",,-1
"MD-0020","Soft Tissue",,"Soft Tissue",,-1
"MD-0021","Skin",,"Skin",,-1
"MD-0022","Stomach",,"Stomach",,-1
"MD-0023","Testicular",,"Testicular",,-1
"MD-0024","Thyroid",,"Thyroid",,-1
"MD-0025","Other Gynecological",,"Other Gynecological",,-1
"MD-0026","Small Intestine",,"Small Intestine",,-1
"MD-0027","Bone",,"Bone",,-1
"MD-0028","Endocrine",,"Endocrine",,-1
"MD-0029","Normal/Unclassified",,"Normal|Unclassified",,0
"MD-0030","Appendix",,"Appendix",,-1
"MD-0031","Unknown primary",,"Unknown primary","OmniDx_0076",-1
"MD-0032","Ureter",,"Ureter",,-1
"MD-0033","Mediastinum & Thymus",,"Mediastinum & Thymus",,-1
"MD-0034","Gallbladder & Extrahepatic bile duct",,"Gallbladder & Extrahepatic bile duct",,-1
"MD-0035","Glandular neoplasms","MD-0001","Bladder / Glandular neoplasms",,-1
"MD-0036","Hematopoietic and Lymphoid tumors","MD-0001","Bladder / Hematopoietic and Lymphoid tumors",,0
"MD-0037","Melanocytic tumors","MD-0001","Bladder / Melanocytic tumors",,-1
"MD-0038","Mesenchymal tumors","MD-0001","Bladder / Mesenchymal tumors",,-1
"MD-0039","Miscellaneous tumors","MD-0001","Bladder / Miscellaneous tumors",,0
"MD-0040","Neuroendocrine tumors","MD-0001","Bladder / Neuroendocrine tumors","OmniDx_0063",-1
"MD-0041","Non Tumor","MD-0001","Bladder / Non Tumor",,0
