"TCode","ParentTCode","TissuePath","Active_Flag"
"TT-0001",,"Breast",-1
"TT-0002",,"Cardiovascular",-1
"TT-0003",,"Endocrine",-1
"TT-0004",,"GI",-1
"TT-0005",,"GU",-1
"TT-0006",,"GYN",-1
"TT-0007",,"Head & Neck",-1
"TT-0008",,"Hematopietic",-1
"TT-0009",,"Musculoskeletal/ Soft Tissue",-1
"TT-0010",,"Nervous System",-1
"TT-0011",,"Skin",-1
"TT-0012",,"Thorax",-1
"TT-0013","TT-0001","Breast / Skin of Breast NOS",-1
"TT-0014","TT-0001","Breast / Subcutaneous tissue NOS",-1
"TT-0015","TT-0001","Breast / Breast NOS",-1
"TT-0016","TT-0001","Breast / Female breast right",-1
"TT-0017","TT-0001","Breast / Female breast left",-1
"TT-0018","TT-0001","Breast / Male Breast NOS",-1
"TT-0019","TT-0001","Breast / Nipple",-1
"TT-0020","TT-0001","Breast / Areola",-1
"TT-0021","TT-0001","Breast / Axillary tail of the breast (not lymph nodes)",-1
"TT-0022","TT-0001","Breast / Both breasts",-1
"TT-0023","TT-0001","Breast / Rib NOS",-1
"TT-0024","TT-0001","Breast / Skeletal muscle NOS",-1
"TT-0025","TT-0001","Breast / Chest wall NOS",-1
"TT-0026","TT-0002","Cardiovascular / Pericardium NOS",-1
"TT-0027","TT-0002","Cardiovascular / Pericardium and mediastinum CS",-1
"TT-0028","TT-0002","Cardiovascular / Heart NOS",-1
"TT-0029","TT-0002","Cardiovascular / Cardiac valve NOS",-1
"TT-0030","TT-0002","Cardiovascular / Artery NOS",-1
"TT-0031","TT-0002","Cardiovascular / Aorta NOS",-1
"TT-0032","TT-0002","Cardiovascular / Pulmonary artery NOS",-1
"TT-0033","TT-0002","Cardiovascular / Carotid artery NOS",-1
"TT-0034","TT-0002","Cardiovascular / Vein NOS",-1
"TT-0035","TT-0002","Cardiovascular / Renal vein NOS",-1
"TT-0036","TT-0003","Endocrine / Endocrine gland NOS",-1
"TT-0037","TT-0003","Endocrine / Pituitary gland NOS",-1
"TT-0038","TT-0003","Endocrine / Pituitary anterior lobe",-1
