"OmniMap_IDX","Resource","ResourceDiseaseID","ResourceDiseaseName","Skip_Flag","Bypass_Flag","OmniDisease_ID","OmniDisease","OmniDiseaseType","MCode","DiseasePath","Receptors","ReceptorsStatus"
1,"JAX",3025,"acinar cell carcinoma",0,0,,,,"MD-1679","Pancreatic (Exocrine) / Epithelial Tumors / Malignant / Acinar cell carcinoma",,
2,"JAX",3025,"acinar cell carcinoma",-1,0,"OmniDx_0066","Pancreatic Cancer","Solid Tumor","MD-2504","Pancreatic (Exocrine) / Epithelial Tumors / Malignant / Acinar cell carcinoma / Acinar cell cystadenocarcinoma",,
3,"JAX",3025,"acinar cell carcinoma",0,0,"OmniDx_0066","Pancreatic Cancer","Solid Tumor","MD-2508","Pancreatic (Exocrine) / Epithelial Tumors / Malignant / Acinar cell carcinoma / Mixed acinar-endocrine carcinoma",,
4,"JAX",12689,"acoustic neuroma",0,0,"OmniDx_0039","Head and Neck Cancer","Solid Tumor","MD-1415","Head & Neck / Ear / Tumors of the inner ear / Vestibular schwannoma",,
5,"JAX",6367,"acral lentiginous melanoma",0,0,"OmniDx_0005","Melanoma","Solid Tumor","MD-1579","Melanoma / Melanocytic Tumors / Malignant melanoma / Acral-lentiginous melanoma",,
6,"JAX",12603,"acute leukemia",0,-1,,,,,,,
7,"JAX",9952,"acute lymphocytic leukemia",0,-1,,,,,,,
8,"JAX",8864,"acute monocytic leukemia",0,-1,,,,,,,
9,"JAX",9119,"acute myeloid leukemia",0,-1,,,,,,,
10,"JAX",60318,"acute promyelocytic leukemia",0,-1,,,,,,,
11,"JAX",5603,"acute T cell leukemia",0,-1,,,,,,,
12,"JAX",80202,"adenoid cystic carcinoma",0,0,"OmniDx_0001","Breast Cancer","Solid Tumor","MD-0327","Breast / Epithelial tumors / Adenoid cystic carcinoma",,
13,"JAX",80202,"adenoid cystic carcinoma",0,0,"OmniDx_0010","Ovarian Cancer","Solid Tumor","MD-0683","Ovary / Miscellaneous tumors / Adenoid cystic carcinoma",,
14,"JAX",80202,"adenoid cystic carcinoma",-1,0,"OmniDx_0039","Head and Neck Cancer","Solid Tumor","MD-0779","Salivary Glands / Malignant Epithelial Tumor / Adenoid cystic carcinoma",,
15,"JAX",80202,"adenoid cystic carcinoma",-1,0,"OmniDx_0039","Head and Neck Cancer","Solid Tumor","MD-2239","Head & Neck / Oral Cavity and Oropharynx / Salivary gland tumors / Salivary gland carcinomas / Adenoid cystic carcinoma",,
16,"JAX",80202,"adenoid cystic carcinoma",0,0,"OmniDx_0023","Cervical Cancer","Solid Tumor","MD-1199","Cervical / Epithelial tumors / Other epithelial tumors / Adenoid cystic carcinoma",,
17,"JAX",80202,"adenoid cystic carcinoma",-1,0,"OmniDx_0034","Esophageal Cancer","Solid Tumor","MD-1266","Esophageal / Epithelial Tumors / Carcinoma / Adenoid cystic carcinoma",,
18,"JAX",80202,"adenoid cystic carcinoma",-1,0,"OmniDx_0002","Lung Cancer","Solid Tumor","MD-1460","Lung / Malignant Epithelial / Salivary Gland type carcinoma / Adenoid cystic carcinoma",,
19,"JAX",80202,"adenoid cystic carcinoma",-1,0,"OmniDx_0024","Uterine Cancer","Solid Tumor","MD-2586","Other Gynecological / Vagina / Epithelial tumors / Other epithelial tumors / Adenoid cystic carcinoma",,
20,"JAX",80202,"adenoid cystic carcinoma",-1,0,"OmniDx_0024","Uterine Cancer","Solid Tumor","MD-2681","Other Gynecological / Vulva / Epithelial tumors / Glandular tumors / Bartholin gland tumors / Adenoid cystic carcinoma",,
21,"JAX",3950,"adrenal carcinoma",0,0,"OmniDx_0030","Endocrine Gland Cancer","Solid Tumor","MD-0230","Endocrine / Adrenal cortical adenoma",,
22,"JAX",3950,"adrenal carcinoma",0,0,"OmniDx_0030","Endocrine Gland Cancer","Solid Tumor","MD-0231","Endocrine / Adrenal cortical carcinoma",,
23,"JAX",3950,"adrenal carcinoma",0,0,"OmniDx_0033","Adrenal Gland Cancer","Solid Tumor",,,,
